label,Total population,Hispanic or Latino (of any race),Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Two races including Some other race,"Two races excluding Some other race, and Three or more races"
atlantic,263670,51129,10160,16430,489,24050,212541,147400,36245,583,20484,618,133,7078,630,6448
bergen,932202,195997,10488,33990,15095,136424,736205,512813,47601,1199,152978,481,2643,18490,2231,16259
burlington,445349,38005,5175,18032,1288,13510,407344,295613,72951,34,22723,0,1847,14176,880,13296
camden,506471,89046,7981,40843,1339,38883,417425,281407,93370,519,28765,0,2432,10932,344,10588
capemay,92039,7452,,,,,84587,78257,3859,0,448,0,0,2023,0,2023
cumberland,149527,47569,16172,26780,253,4364,101958,67922,26972,1315,1791,36,18,3904,265,3639
essex,798975,190013,8900,52338,4947,123828,608962,238115,307051,1376,43261,120,7038,12001,1298,10703
gloucester,291636,19500,4096,9830,769,4805,272136,226459,30153,83,9151,0,351,5939,326,5613
hudson,672391,286981,22131,44585,24617,195648,385410,193721,69570,977,102809,0,3634,14699,2874,11825
hunterdon,124371,8694,1639,2068,1257,3730,115677,104852,2924,0,5262,0,625,2014,586,1428
mercer,367430,67823,4655,16948,1327,44893,299607,177010,71102,867,43483,269,370,6506,559,5947
middlesex,825062,182108,29696,48637,7028,96747,642954,342992,76177,660,201147,572,3018,18388,2823,15565
monmouth,618795,68930,17921,23930,3743,23336,549865,463576,41604,0,32673,0,1980,10032,1124,8908
morris,491845,68147,10970,12288,3206,41683,423698,345681,16263,74,52992,0,1303,7385,380,7005
ocean,607186,57819,13324,25004,1837,17654,549367,510927,18233,253,9648,97,1279,8930,68,8862
passaic,501826,215329,36799,30121,5961,142448,286497,202275,52379,255,25594,245,610,5139,457,4682
salem,62385,6089,,,,,56296,45679,7939,165,676,276,126,1435,0,1435
somerset,328934,50061,7069,9844,1444,31704,278873,176225,31232,214,60761,0,6053,4388,746,3642
sussex,140488,12904,275,5618,1135,5876,127584,119294,3431,0,2474,0,208,2177,0,2177
union,556341,182552,10825,28096,12091,131540,373789,210250,110622,635,29466,0,13731,9085,878,8207
warren,105267,10697,376,3862,107,6352,94570,84398,4965,52,2434,0,307,2414,787,1627
