label,Total population,Hispanic or Latino (of any race),Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races,Two races including Some Other Race,"Two races excluding Some Other Race, and three or more races"
atlantic,275213,56535,12182,16015,2075,26263,218678,148073,35599,259,21779,0,1831,11137,1958,9179
bergen,957736,223107,9718,30588,16221,166580,734629,483972,51290,487,161859,393,8789,27839,8782,19057
burlington,469167,46865,4292,20206,1683,20684,422302,289446,76128,116,27366,93,3247,25906,6663,19243
camden,527196,102905,17362,46310,1242,37991,424291,273998,90989,94,30280,243,3297,25390,4481,20909
capemay,94610,7936,3286,2509,358,1783,86674,79714,1871,240,522,0,0,4327,632,3695
cumberland,152326,55012,22522,21573,455,10462,97314,61286,24832,731,1896,0,1660,6909,2126,4783
essex,851117,214949,13515,48389,6049,146996,636168,236050,302140,1193,52425,120,9147,35093,15358,19735
gloucester,308423,26813,2745,14262,547,9259,281610,226481,28691,316,9127,265,1768,14962,1936,13026
hudson,705472,287590,19680,49595,23746,194569,417882,191446,74413,1051,116573,241,10326,23832,10556,13276
hunterdon,130183,12483,2005,2505,1094,6879,117700,102878,2867,0,6431,0,715,4809,2200,2609
mercer,381671,89035,3283,14073,3048,68631,292636,161716,69613,203,48141,0,1395,11568,2029,9539
middlesex,863623,207154,34266,35669,7144,130075,656469,317411,86979,804,222643,0,6255,22377,6141,16236
monmouth,642799,83525,24730,24054,3175,31566,559274,459112,31244,185,32096,152,6605,29880,9446,20434
morris,514423,83764,7073,16299,4002,56390,430659,336692,14030,258,56480,44,2653,20502,6916,13586
ocean,659197,72493,24036,21182,1933,25342,586704,531251,14743,434,13228,0,3706,23342,9044,14298
passaic,513395,229267,35237,32797,4577,156656,284128,192208,48843,204,28271,29,3729,10844,3581,7263
salem,65338,7747,,,,,57591,45473,8637,0,357,173,298,2653,572,2081
somerset,348842,62369,7261,8788,2056,44264,286473,168739,32463,316,70241,54,2685,11975,4316,7659
sussex,146132,18589,962,5967,1171,10489,127543,114911,4425,50,3809,0,568,3780,2490,1290
union,572726,201988,11476,30304,12135,148073,370738,199856,111055,193,33256,0,7553,18825,7972,10853
warren,111252,15224,2460,3448,976,8340,96028,81974,5547,718,3500,0,847,3442,784,2658
